current,actual_Vcell,predicted_Vcell
0.01,1.54,2.17442086374137
0.5,1.92,2.41127006959348
0.9,2.17,2.46498024615071
1.4,2.45,2.51642181030225
2.3,2.73,2.59300100088333
5.5,3.1,2.81741340584633
6.4,3.25,2.87551055662322
7.2,3.32,2.92624531999233
12.7,3.53,3.26206563454402
13,3.57,3.27997538611582
15.5,3.61,3.42822277763006
15.55,3.62,3.43117179897694
15.86666667,3.63,3.44983621281908
17,3.69,3.51646592759576
18.93333333,3.71,3.62959340497231
19.3,3.74,3.6509818003872
21.3,3.79,3.76732306430303
22.3,3.83,3.8253103488674
22.6,3.84,3.8426850637208
24.5,3.87,3.95251536243407
24.73333333,3.91,3.96598000225927
25.3,3.93,3.99866016084321
26.5,3.94,4.06777786677726
27.4,4,4.11954342785513
28.7,4.02,4.19421473750585
29.7,4.09,4.2515788026793
30.2,4.11,4.28023778768679
32,4.19,4.38329183216887
32.3,4.2,4.40045048278696
32.6,4.22,4.41760451034761
33.36666667,4.25,4.46142215562138
34.3,4.27,4.51472730412774
36.2,4.48,4.62312091987994
36.55,4.5,4.64307158371215
36.575,4.52,4.64449644197057
36.60107527,4.58,4.64598255784749
36.63636364,4.59,4.64799371546048
36.6375,4.63,4.64805847815393
36.64285714,4.64,4.64836378811431
36.66666667,4.65,4.64972070849464
36.99,4.69,4.66814545741651
36.87536232,4.7,4.66161344358733
36.98157895,4.71,4.66766564656718
37.36666667,4.78,4.68960418199343
37.58333333,4.8,4.70194522152641
37.7625,4.81,4.71214896619013
37.97692308,4.86,4.72435901851867
38.025,4.88,4.72709646305031
37.98,4.89,4.72453421737476
38.15,4.91,4.73421341891074
38.2,4.92,4.73706003995555
38.25,4.93,4.73990656919104
