No training samples,Model,Mean F1 score,Error
4,residual + SSL,0.8813106359447364,0.011458692695397146
8,residual + SSL,0.9071976325771869,0.005704579248299092
16,residual + SSL,0.9406187522285269,0.005618007301820213
32,residual + SSL,0.9416076073178813,0.005812879828617625
64,residual + SSL,0.9559175055004119,0.0023358816866976342
90,residual + SSL,0.9482934081211731,0.0020864786463543642
4,residual + SL,0.7492949844581263,0.01665693598738871
8,residual + SL,0.830043662588962,0.013177864382878669
16,residual + SL,0.8733836571124659,0.01299102102285623
32,residual + SL,0.8522486173853275,0.00985463983584764
64,residual + SL,0.891367234491154,0.013325881589859813
90,residual + SL,0.8754240438961316,0.012416326460270372
4,sensor + SSL,0.7255873090936115,0.027676686258711936
8,sensor + SSL,0.806390448470444,0.019686549714508977
16,sensor + SSL,0.8775573825967982,0.019129938776438402
32,sensor + SSL,0.946981156961751,0.009177402173814046
64,sensor + SSL,0.957044802137313,0.010155865713234428
90,sensor + SSL,0.9529932554231856,0.010313182437115733
4,sensor + SL,0.34335332409248653,0.06387587515973213
8,sensor + SL,0.5521996728924009,0.0496624809884274
16,sensor + SL,0.5954929531279544,0.024642947922317374
32,sensor + SL,0.7970473931249967,0.037798429224787766
64,sensor + SL,0.8659218073020153,0.014456608110068539
90,sensor + SL,0.8716718038287542,0.015291939925301866
